,Zipcode,Number_Of_Reviews,Price
2786,10035,3,70
2787,11238,3,130
2788,10065,11,255
2789,10065,85,89
2790,10065,67,89
2791,11211,2,450
2792,10005,0,100
2793,10010,1,120
2794,10014,6,190
2795,10014,2,190
2796,10014,3,190
2797,10036,6,139
2798,11211,5,88
2799,11211,2,110
2800,11211,1,100
2801,11211,1,80
2802,10038,1,80
2803,11215,3,160
2804,11215,4,200
2805,11216,0,150
2806,11238,13,120
2807,10019,0,397
2808,10019,1,245
2809,10075,32,100
2810,11215,30,85
2811,11216,17,85
2812,10031,17,49
2813,10128,34,105
2814,11211,40,225
2815,11215,9,220
2816,11211,0,123
2817,10004,14,225
2818,10012,4,215
2819,10014,8,349
2820,10019,6,220
2821,10023,53,185
2822,11211,3,55
2823,11211,0,85
2824,11222,0,103
2825,11238,14,72
2826,11238,128,79
2827,11101,0,180
2828,11373,7,79
2829,11211,0,145
2830,11211,11,240
2831,11222,1,168
2832,11211,2,285
2833,11206,12,700
2834,10003,4,175
2835,10012,0,150
2836,10026,0,125
2837,10065,13,160
2838,11225,3,70
2839,11206,32,80
2840,11206,17,80
2841,11206,12,80
2842,10016,40,130
2843,10031,71,80
2844,10065,11,90
2845,10018,12,88
2846,11211,16,250
2847,11216,110,150
2848,11233,12,290
2849,11249,8,230
2850,10016,0,250
2851,10075,106,139
2852,11249,1,100
2853,10002,18,105
2854,10017,61,160
2855,10021,4,110
2856,10022,37,169
2857,10022,0,165
2858,11217,29,170
2859,11231,21,185
2860,11217,6,250
2861,10002,23,140
2862,10011,8,155
2863,10014,7,300
2864,10023,2,389
2865,11217,2,130
2866,11226,98,50
2867,11226,93,56
2868,11217,71,120
2869,11222,1,145
2870,11221,20,149
2871,10001,0,220
2872,10005,0,355
2873,10128,9,395
2874,11206,0,180
2875,10014,0,85
2876,10025,135,79
2877,11211,84,100
2878,11237,7,190
2879,11231,2,410
2880,10009,69,185
2881,10028,8,159
2882,10036,6,559
2883,11237,1,90
2884,11237,4,80
2885,10010,48,55
2886,10026,2,110
2887,11101,2,80
2888,11237,26,1500
2889,11249,12,200
2890,10005,2,225
2891,10454,0,38
2892,11216,1,49
2893,11221,0,89
2894,10025,44,77
2895,10040,24,75
2896,11221,0,69
2897,11216,39,90
2898,10002,12,199
2899,10036,5,200
2900,11231,0,75
2901,11230,30,80
2902,11238,5,145
2903,11238,65,135
2904,10014,31,250
2905,10014,42,325
2906,10014,0,475
2907,10014,1,250
2908,10016,23,105
2909,10019,2,189
2910,10023,16,325
2911,11216,7,72
2912,11238,69,89
2913,10029,32,65
2914,11693,6,88
2915,11217,50,203
2916,11217,83,100
2917,11217,15,350
2918,11217,20,495
2919,11211,68,179
2920,10009,44,185
2921,10027,0,305
2922,10065,45,220
2923,11216,0,85
2924,11237,0,75
2925,11237,2,70
2926,11238,1,55
2927,11222,2,55
2928,11222,11,60
2929,11249,6,70
2930,10029,0,108
2931,10044,9,999
2932,11385,0,50
2933,10002,19,150
2934,10003,1,249
2935,10003,0,199
2936,10023,0,125
2937,10025,3,125
2938,10025,4,125
2939,10025,22,135
2940,11206,0,60
2941,10003,9,135
2942,11105,0,50
2943,11215,4,150
2944,10021,5,150
2945,10028,3,200
2946,10010,0,250
2947,10013,0,75
2948,11238,19,190
2949,10003,88,250
2950,10024,0,300
2951,11217,1,99
2952,11218,27,70
2953,11226,107,72
2954,11226,72,63
2955,11230,1,39
2956,11238,1,74
2957,10128,3,90
2958,11205,1,205
2959,11211,6,185
2960,11216,37,150
2961,11217,6,180
2962,11217,0,239
2963,10001,29,300
2964,10009,11,141
2965,10009,9,160
2966,10014,6,240
2967,10031,0,500
2968,10065,7,150
2969,11206,7,85
2970,11217,0,150
2971,11222,0,70
2972,11374,52,68
2973,11237,2,149
2974,10075,30,149
2975,10012,15,400
2976,11237,3,69
2977,10029,0,99
2978,11218,29,250
2979,11222,2,95
2980,11216,42,210
2981,10002,49,249
2982,10002,0,180
2983,10014,1,559
2984,10027,27,295
2985,10033,0,64
2986,10027,30,295
2987,10027,16,175
2988,10035,4,69
2989,10035,3,59
2990,11225,11,122
2991,10001,0,250
2992,10002,14,160
2993,10463,4,99
2994,11205,1,72
2995,11211,32,120
2996,10040,115,69
2997,11211,8,150
2998,11221,0,150
2999,11211,15,270
3000,10012,18,175
3001,10128,7,120
3002,10470,33,57
3003,11220,6,65
3004,11206,0,40
3005,11215,51,124
3006,11211,5,220
3007,10025,45,159
3008,11206,0,100
3009,11249,1,50
3010,11225,1,125
3011,10001,0,400
3012,10002,6,162
3013,10014,13,250
3014,10016,2,150
3015,11103,181,129
3016,11103,0,250
3017,11205,0,75
3018,11213,0,70
3019,10003,1,295
3020,11216,53,92
3021,11222,0,120
3022,10002,4,275
3023,10009,8,499
3024,10019,30,205
3025,11211,1,55
3026,11211,31,80
3027,11218,0,50
3028,11218,11,69
3029,10016,2,75
3030,11106,108,69
3031,11206,0,200
3032,11225,1,88
3033,11230,2,180
3034,10002,8,599
3035,10009,3,175
3036,10014,9,265
3037,10024,11,165
3038,10026,73,333
3039,11206,79,70
3040,11206,27,79
3041,11206,1,79
3042,10009,5,83
3043,10026,9,160
3044,10026,5,200
3045,11102,1,37
3046,11102,18,62
3047,11211,125,130
3048,11217,29,175
3049,11221,0,250
3050,11201,12,245
3051,11201,1,215
3052,11222,61,150
3053,10002,2,179
3054,10003,22,275
3055,10009,8,250
3056,10011,29,200
3057,10014,56,225
3058,10019,1,200
3059,10036,30,299
3060,10014,5,698
3061,11213,3,46
3062,11213,5,45
3063,10002,1,99
3064,10002,41,99
3065,11377,21,35
3066,11217,0,200
3067,11218,0,125
3068,11249,1,170
3069,11217,4,200
3070,11205,11,145
3071,10002,0,130
3072,10003,33,360
3073,10012,38,320
3074,10024,77,225
3075,10003,109,140
3076,10002,54,150
3077,10002,58,130
3078,10003,101,195
3079,11206,83,308
3080,11211,4,195
3081,11217,1,125
3082,10003,0,200
3083,10009,2,350
3084,10009,0,195
3085,10038,0,300
3086,11377,0,250
3087,11206,0,45
3088,10014,0,175
3089,11205,3,120
3090,11238,1,200
3091,10012,23,895
3092,11205,2,120
3093,11249,27,99
3094,10030,22,85
3095,11201,6,129
3096,11211,13,160
3097,11215,19,150
3098,11221,1,100
3099,11237,1,149
3100,11238,9,85
3101,10011,9,300
3102,10024,11,175
3103,11215,1,110
3104,10017,0,179
3105,10017,3,139
3106,11206,3,125
3107,10075,6,195
3108,11226,8,50
3109,11226,4,41
3110,11205,1,50
3111,11226,7,95
3112,11226,1,95
3113,11226,1,65
3114,10018,0,55
3115,10018,27,140
3116,10031,0,50
3117,10031,3,40
3118,10031,2,50
3119,10013,10,165
3120,11211,0,175
3121,11211,12,175
3122,11211,0,110
3123,11216,67,100
3124,11221,27,135
3125,10011,7,175
3126,11226,13,45
3127,11213,3,90
3128,10037,0,89
3129,11211,1,133
3130,11222,0,150
3131,10003,0,150
3132,10011,11,290
3133,10029,22,129
3134,11211,14,95
3135,10003,31,119
3136,11692,71,40
3137,11211,1,210
3138,11206,6,500
3139,10022,8,250
3140,10029,21,99
3141,10033,5,125
3142,11211,80,110
3143,11205,2,75
3144,11205,20,75
3145,11205,25,75
3146,10033,3,50
3147,11222,0,100
3148,11238,2,350
3149,10023,3,200
3150,10024,20,198
3151,11693,11,87
3152,11222,2,47
3153,11222,2,47
3154,10014,4,130
3155,11693,4,67
3156,11222,4,35
3157,11225,1,125
3158,11238,7,150
3159,10009,63,206
3160,10019,0,550
3161,10027,4,350
3162,10007,3,119
3163,11211,56,189
3164,11216,3,150
3165,11211,0,350
3166,10002,4,185
3167,10003,16,165
3168,10128,5,120
3169,10024,15,99
3170,10032,43,70
3171,11377,17,59
3172,11201,1,175
3173,11211,0,130
3174,11211,20,185
3175,11238,34,120
3176,10012,10,199
3177,10025,0,110
3178,11222,1,75
3179,10027,31,93
3180,11222,8,180
3181,11226,16,95
3182,11231,4,425
3183,10012,65,250
3184,11105,6,120
3185,11206,61,77
3186,11206,0,100
3187,10002,10,85
3188,11201,9,135
3189,11206,0,80
3190,11211,1,325
3191,11238,10,250
3192,10003,7,300
3193,10006,8,250
3194,10019,43,135
3195,10023,79,195
3196,10025,82,150
3197,10038,3,220
3198,11207,0,70
3199,11221,37,100
3200,11237,30,75
3201,11206,25,210
3202,11231,6,225
3203,10065,1,295
3204,11238,8,90
3205,11211,5,95
3206,11249,57,85
3207,10009,17,139
3208,10033,18,75
3209,10001,2,225
3210,10036,2,100
3211,11221,1,120
3212,10009,22,190
3213,10014,3,289
3214,10026,10,250
3215,11221,0,80
3216,11228,4,35
3217,10002,5,200
3218,10026,15,198
3219,11222,2,145
3220,11222,3,120
3221,11233,33,70
3222,11233,28,80
3223,11249,0,140
3224,11216,42,75
3225,10005,0,500
3226,10024,20,200
3227,11222,1,65
3228,11223,16,64
3229,10002,5,98
3230,10025,16,80
3231,11217,2,99
3232,11225,0,350
3233,11237,13,84
3234,11249,1,125
3235,10003,3,350
3236,10013,7,249
3237,11205,3,85
3238,10035,2,85
3239,11106,1,120
3240,11211,9,219
3241,11211,9,220
3242,11211,2,205
3243,11222,9,240
3244,11226,0,118
3245,11226,1,100
3246,11231,16,205
3247,11211,0,230
3248,10002,11,150
3249,10014,1,199
3250,10025,0,100
3251,11372,0,79
3252,11211,25,88
3253,11211,31,87
3254,10012,2,100
3255,11211,2,110
3256,11216,0,200
3257,11237,20,195
3258,10003,4,130
3259,10016,0,190
3260,11237,59,85
3261,10002,0,150
3262,10014,0,150
3263,11206,26,129
3264,11216,0,120
3265,11217,23,115
3266,11222,5,190
3267,10001,12,281
3268,10002,39,160
3269,10024,15,248
3270,10029,2,75
3271,10030,4,115
3272,10128,6,449
3273,10128,1,249
3274,11217,3,200
3275,11222,133,115
3276,11238,0,150
3277,10002,61,175
3278,11224,0,100
3279,11215,0,155
3280,11238,9,145
3281,10003,57,400
3282,10011,1,275
3283,10024,6,150
3284,11101,0,200
3285,11692,9,125
3286,11205,1,80
3287,10024,3,85
3288,11201,5,200
3289,11238,9,175
3290,11238,6,150
3291,11222,12,350
3292,10009,14,175
3293,10011,128,159
3294,10016,1,225
3295,11217,2,105
3296,11205,39,139
3297,11210,4,100
3298,11211,54,195
3299,11237,15,125
3300,11238,22,107
3301,10009,5,199
3302,10009,6,175
3303,10014,1,225
3304,10025,54,198
3305,10025,2,175
3306,10033,0,160
3307,10458,59,67
3308,11211,24,75
3309,11211,2,75
3310,10033,12,70
3311,10007,3,105
3312,11385,0,60
3313,10009,78,75
3314,11211,11,190
3315,11218,1,70
3316,11226,12,175
3317,10002,1,142
3318,10024,0,200
3319,10002,2,92
3320,10003,25,100
3321,10003,0,250
3322,10009,2,90
3323,11216,0,100
3324,11222,5,150
3325,11238,16,168
3326,10016,39,199
3327,10128,22,199
3328,10013,0,185
3329,11372,0,120
3330,11222,1,45
3331,11249,6,110
3332,11249,6,119
3333,11101,3,97
3334,11211,27,200
3335,10003,31,200
3336,10010,0,250
3337,10018,62,190
3338,11221,0,40
3339,11205,5,150
3340,10003,3,250
3341,10013,16,400
3342,10013,4,140
3343,10039,22,98
3344,11211,13,129
3345,11211,3,195
3346,10003,0,210
3347,10014,5,195
3348,10025,2,350
3349,10460,7,39
3350,10460,4,50
3351,11211,0,75
3352,11211,1,59
3353,10032,6,75
3354,11216,0,225
3355,11221,0,95
3356,10002,54,159
3357,10003,20,190
3358,10003,0,235
3359,10003,14,185
3360,10009,23,179
3361,10012,27,388
3362,10034,35,75
3363,10128,4,200
3364,10013,36,290
3365,11103,12,219
3366,11103,18,157
3367,11103,14,212
3368,11103,19,89
3369,11103,14,185
3370,11385,45,115
3371,11201,0,90
3372,11211,0,100
3373,11225,17,85
3374,10003,20,95
3375,10009,4,95
3376,10009,70,49
3377,10025,80,99
3378,10025,40,99
3379,10469,138,185
3380,11205,9,150
3381,11205,4,180
3382,11215,7,195
3383,11215,75,142
3384,11215,8,110
3385,11217,0,175
3386,11223,1,120
3387,10004,17,275
3388,10012,34,195
3389,10013,5,160
3390,10014,10,250
3391,10017,19,172
3392,10021,0,180
3393,10031,23,199
3394,10469,18,85
3395,10469,1,85
3396,11205,1,75
3397,11237,0,75
3398,10003,1,230
3399,10004,4,150
3400,10012,31,110
3401,10014,31,100
3402,10032,104,102
3403,11201,0,175
3404,11211,7,150
3405,11217,3,650
3406,10001,1,300
3407,11103,7,110
3408,10451,2,45
3409,11211,99,60
3410,11217,12,120
3411,11217,5,120
3412,11106,0,79
3413,11217,15,180
3414,11222,3,110
3415,11226,1,73
3416,11238,9,90
3417,11249,57,120
3418,10002,4,200
3419,11205,54,100
3420,11225,10,150
3421,10011,63,199
3422,10013,3,150
3423,11211,4,80
3424,11211,140,50
3425,10013,5,129
3426,11213,6,60
3427,11211,2,190
3428,11216,13,115
3429,10002,8,280
3430,10002,3,310
3431,10003,27,200
3432,10014,5,285
3433,10025,17,201
3434,11237,4,98
3435,11237,1,80
3436,11237,1,50
3437,10023,85,120
3438,11216,12,99
3439,11249,6,149
3440,10001,1,245
3441,10011,60,199
3442,10019,1,200
3443,10031,15,103
3444,10075,16,230
3445,11211,2,107
3446,10019,1,130
3447,11211,0,280
3448,11238,5,142
3449,11249,1,129
3450,11238,4,145
3451,10002,6,225
3452,10003,3,640
3453,10011,1,250
3454,10011,9,195
3455,10012,12,189
3456,10012,17,2750
3457,10012,0,4750
3458,10012,81,179
3459,10013,46,432
3460,11206,7,100
3461,11221,5,50
3462,10003,0,180
3463,10036,0,89
3464,10040,20,59
3465,11201,13,179
3466,11231,0,235
3467,10001,1,675
3468,10003,31,170
3469,10003,25,300
3470,10010,5,165
3471,10012,58,215
3472,10031,0,125
3473,10031,14,119
3474,10013,4,180
3475,11211,3,84
3476,11211,27,99
3477,11215,1,79
3478,11221,2,69
3479,11221,0,75
3480,11221,1,60
3481,11211,9,248
3482,11216,0,159
3483,11222,19,149
3484,11225,48,109
3485,11249,5,185
3486,10009,0,160
3487,10011,2,250
3488,10012,34,225
3489,10012,12,225
3490,10014,29,265
3491,10014,74,210
3492,10018,1,140
3493,10028,16,115
3494,10036,1,140
3495,10036,5,150
3496,10036,0,150
3497,10036,1,140
3498,10044,0,160
3499,10128,18,320
3500,11216,34,72
3501,11216,42,82
3502,10002,12,85
3503,10128,21,86
3504,11201,4,160
3505,11238,12,139
3506,11238,5,265
3507,11205,1,160
3508,11237,9,160
3509,10002,2,180
3510,10002,1,135
3511,10002,13,150
3512,10003,14,240
3513,10009,25,310
3514,10012,12,220
3515,10025,2,77
3516,11201,21,119
3517,11205,0,70
3518,11238,7,60
3519,11238,12,69
3520,10009,32,125
3521,10014,0,100
3522,10031,70,55
3523,11215,4,248
3524,11231,2,135
3525,10003,6,249
3526,10003,0,200
3527,10007,1,800
3528,10011,0,249
3529,10014,8,180
3530,10014,6,200
3531,10025,1,550
3532,10036,79,599
3533,11215,5,129
3534,10011,48,120
3535,11217,6,150
3536,11237,2,300
3537,10002,24,129
3538,11237,10,120
3539,10027,0,95
3540,10031,0,80
3541,11211,0,200
3542,11238,4,175
3543,10002,77,167
3544,10014,16,185
3545,10024,1,149
3546,10024,18,255
3547,11221,0,60
3548,11237,29,64
3549,10002,48,99
3550,10023,21,170
3551,11215,4,180
3552,11216,9,100
3553,11216,21,240
3554,10023,2,185
3555,10026,1,120
3556,11211,2,75
3557,11222,2,125
3558,11216,1,60
3559,11216,25,60
3560,11216,9,52
3561,11238,2,92
3562,11238,6,73
3563,10027,8,99
3564,10032,135,70
3565,11211,11,95
3566,11216,0,225
3567,11216,0,150
3568,11218,4,83
3569,11237,1,200
3570,11211,5,139
3571,10001,0,350
3572,10003,0,360
3573,10013,5,365
3574,10014,33,295
3575,10035,61,125
3576,11218,1,69
3577,11221,2,90
3578,10003,4,230
3579,10034,26,74
3580,10075,5,85
3581,11238,9,115
3582,11221,30,149
3583,11215,15,265
3584,10002,59,180
3585,10002,0,140
3586,10003,1,390
3587,10009,12,130
3588,10011,1,298
3589,11211,79,94
3590,11211,99,124
3591,11225,1,70
3592,11226,6,55
3593,11226,2,55
3594,11226,45,70
3595,11238,14,89
3596,10002,0,110
3597,10011,110,125
3598,10011,1,169
3599,11215,3,130
3600,11238,3,162
3601,10010,47,189
3602,10010,21,339
3603,10012,17,225
3604,10014,21,199
3605,10028,9,110
3606,10031,0,185
3607,10036,0,200
3608,10065,15,175
3609,11211,29,125
3610,11217,21,85
3611,10032,37,60
3612,10032,12,65
3613,11211,16,194
3614,10002,5,180
3615,10003,105,239
3616,10013,0,199
3617,10024,91,120
3618,10026,57,179
3619,10029,67,180
3620,11205,3,85
3621,11205,0,79
3622,11206,8,70
3623,11207,13,49
3624,11238,5,45
3625,10013,20,80
3626,11206,14,135
3627,11216,2,65
3628,11222,6,110
3629,11231,85,135
3630,10011,12,199
3631,10036,75,95
3632,10038,2,179
3633,10128,0,200
3634,10128,1,200
3635,11249,0,99
3636,10031,120,75
3637,10002,15,150
3638,10009,2,229
3639,10023,11,299
3640,10023,132,165
3641,10023,143,235
3642,11207,7,65
3643,11221,57,69
3644,10128,6,125
3645,11213,0,65
3646,11216,68,110
3647,11236,1,160
3648,11210,0,250
3649,10001,7,390
3650,10011,0,175
3651,10033,0,105
3652,11104,28,90
3653,11211,110,100
3654,11216,20,85
3655,11210,0,150
3656,11210,8,78
3657,11210,14,74
3658,11210,6,65
3659,11210,0,75
3660,11210,7,75
3661,11210,2,75
3662,11210,1,78
3663,11210,2,89
3664,10032,27,90
3665,11201,11,300
3666,11206,11,190
3667,10003,1,225
3668,10009,2,170
3669,10028,53,135
3670,10044,4,180
3671,11216,0,75
3672,11218,0,90
3673,11226,0,95
3674,10002,6,302
3675,10003,26,195
3676,10002,0,211
3677,10002,0,260
3678,11215,32,180
3679,11238,0,89
3680,10014,5,290
3681,10031,1,105
3682,11206,2,80
3683,11238,2,60
3684,11217,10,260
3685,10003,1,100
3686,10016,2,199
3687,11209,1,189
3688,11233,1,115
3689,10003,1,120
3690,11209,0,95
3691,11209,0,89
3692,11233,0,60
3693,10003,52,125
3694,11205,12,120
3695,11221,13,139
3696,10012,12,420
3697,10013,8,595
3698,10021,6,158
3699,10027,2,200
3700,11103,11,125
3701,11205,76,125
3702,11205,47,125
3703,11215,0,90
3704,10025,16,39
3705,10025,17,39
3706,11211,0,150
3707,10012,69,200
3708,11211,0,90
3709,11211,0,90
3710,11211,48,50
3711,11211,69,85
3712,11216,3,160
3713,11222,37,120
3714,11216,71,165
3715,11205,0,265
3716,10002,2,195
3717,10023,13,170
3718,11207,15,75
3719,11211,8,95
3720,11211,42,89
3721,11221,0,85
3722,11238,0,90
3723,10011,5,103
3724,11211,6,160
3725,11238,1,140
3726,11249,0,230
3727,10024,38,191
3728,10024,68,215
3729,11237,9,90
3730,10018,3,118
3731,11206,4,140
3732,11231,1,150
3733,11235,56,100
3734,10009,5,300
3735,10009,11,180
3736,10009,108,99
3737,10009,35,85
3738,10009,0,105
3739,11211,13,185
3740,11215,26,160
3741,11221,20,135
3742,10002,17,120
3743,10010,9,250
3744,11211,2,80
3745,10011,31,145
3746,11211,8,53
3747,11215,0,200
3748,10023,14,180
3749,10023,0,200
3750,10128,1,295
3751,11232,5,50
3752,11238,46,93
3753,11211,89,175
3754,11215,5,119
3755,11238,21,150
3756,10009,3,599
3757,10024,97,175
3758,10009,1,150
3759,11104,82,49
3760,11206,0,120
3761,11211,16,240
3762,11221,2,200
3763,10019,10,215
3764,11211,3,85
3765,11211,0,93
3766,11215,0,60
3767,11216,1,80
3768,11222,0,65
3769,11237,57,70
3770,10001,0,230
3771,10039,0,75
3772,11205,1,100
3773,11211,4,75
3774,10003,12,169
3775,10029,48,99
3776,10034,0,60
3777,11221,6,120
3778,11249,1,175
3779,10010,0,259
3780,10016,25,149
3781,10036,98,230
3782,11206,7,95
3783,11101,46,90
3784,11106,29,110
3785,11215,0,600
3786,11215,14,199
3787,10003,13,195
3788,10010,0,275
3789,10016,8,350
3790,10024,0,249
3791,11237,2,60
3792,10009,4,70
3793,10009,125,110
3794,10009,129,83
3795,11206,7,175
3796,11249,0,450
3797,11249,3,229
3798,11238,0,165
3799,10003,1,400
3800,11206,44,90
3801,11221,10,80
3802,10030,18,75
3803,10031,70,50
3804,10031,13,50
3805,10031,22,55
3806,10031,8,50
3807,10031,5,50
3808,10031,1,55
3809,10031,11,50
3810,10031,13,50
3811,10031,5,50
3812,10031,27,65
3813,10031,23,60
3814,10031,9,50
3815,11104,26,108
3816,10471,1,99
3817,11211,12,130
3818,11249,6,210
3819,10003,13,165
3820,10010,1,135
3821,10011,2,361
3822,11693,9,195
3823,11693,7,149
3824,11211,0,90
3825,11215,18,85
3826,10011,14,190
3827,10011,4,109
3828,10128,68,115
3829,10128,74,115
3830,11206,12,150
3831,11221,14,100
3832,11222,0,90
3833,10010,1,100
3834,11220,5,125
3835,11231,0,160
3836,11220,2,150
3837,10009,6,150
3838,10012,128,170
3839,11217,1,85
3840,11217,5,100
3841,11226,48,30
3842,11226,33,50
3843,11237,0,40
3844,11216,80,79
3845,11216,55,79
3846,11216,0,79
3847,11220,25,85
3848,11220,9,75
3849,10002,47,70
3850,10002,21,80
3851,10002,81,90
3852,11216,3,125
3853,11238,7,80
3854,11206,21,220
3855,11206,24,200
3856,10002,7,140
3857,10007,0,300
3858,10301,0,120
3859,10019,2,150
3860,11201,31,225
3861,11211,10,119
3862,11211,12,107
3863,11211,8,102
3864,11237,7,50
3865,11207,32,45
3866,11207,12,48
3867,10009,13,87
3868,10009,19,85
3869,10027,9,93
3870,11201,4,150
3871,11205,5,170
3872,11215,8,97
3873,11217,1,250
3874,11231,7,160
3875,11249,5,250
3876,10011,4,495
3877,10011,1,250
3878,10011,11,290
3879,10016,67,150
3880,10128,0,205
3881,10013,7,160
3882,10021,65,90
3883,10027,3,95
3884,10019,0,79
3885,11205,1,225
3886,11205,7,245
3887,10009,2,300
3888,10011,15,185
3889,10035,1,115
3890,11211,4,189
3891,11249,2,207
3892,10021,48,160
3893,10040,5,98
3894,10128,4,170
3895,10030,7,82
3896,10003,8,200
3897,10009,70,155
3898,10009,46,159
3899,11216,2,105
3900,11216,76,95
3901,11216,31,122
3902,10012,13,100
3903,11101,43,125
3904,11205,11,115
3905,11211,0,142
3906,11218,2,150
3907,11238,1,149
3908,11249,10,160
3909,11237,16,245
3910,11237,17,270
3911,10002,1,199
3912,10010,35,250
3913,10010,45,250
3914,10010,51,250
3915,10019,195,145
3916,10029,0,135
3917,10030,11,127
3918,10036,118,145
3919,10036,182,145
3920,10065,53,110
3921,11218,0,75
3922,10027,0,200
3923,11102,0,80
3924,11249,8,50
3925,11213,7,140
3926,11217,3,185
3927,11233,21,98
3928,11225,0,289
3929,10002,36,125
3930,10011,12,199
3931,10014,0,160
3932,10036,46,600
3933,10128,0,175
3934,11230,3,65
3935,11233,6,69
3936,11206,0,115
3937,10002,106,220
3938,10002,4,187
3939,10002,6,150
3940,10003,142,249
3941,10003,46,139
3942,10003,8,750
3943,10009,10,149
3944,10029,62,209
3945,10034,8,98
3946,11101,2,92
3947,11104,0,95
3948,11206,1,69
3949,11201,1,175
3950,11211,17,198
3951,11211,1,180
3952,10009,0,480
3953,10011,0,385
3954,10026,6,275
3955,10032,62,120
3956,11211,103,70
3957,11211,77,70
3958,10026,85,120
3959,10026,50,90
3960,10027,2,40
3961,10011,0,250
3962,10014,23,180
3963,11370,6,100
3964,11101,14,140
3965,11207,70,60
3966,11207,30,65
3967,10031,2,28
3968,10021,0,1000
3969,11233,9,62
3970,11237,0,67
3971,11105,29,60
3972,11105,11,95
3973,11105,26,55
3974,11211,16,125
3975,11217,12,128
3976,11205,0,8000
3977,11205,3,4500
3978,10305,37,75
3979,11205,28,459
3980,11205,36,279
3981,11205,60,239
3982,11205,31,199
3983,11205,2,329
3984,11205,2,269
3985,11205,8,997
3986,11205,4,259
3987,11211,34,150
3988,11226,2,75
3989,10002,3,150
3990,10018,16,200
3991,11221,0,63
3992,11232,30,50
3993,10003,0,90
3994,11238,0,125
3995,10009,83,275
3996,10016,2,220
3997,10463,7,65
3998,10012,1,190
3999,10025,0,85
4000,11206,14,165
4001,11211,0,150
4002,11238,0,175
4003,11233,32,135
4004,10011,0,450
4005,10011,4,149
4006,10014,2,279
4007,10022,5,250
4008,10031,22,308
4009,10036,6,350
4010,11206,29,110
4011,11238,1,150
4012,10002,4,108
4013,10002,31,133
4014,10022,150,115
4015,10025,0,50
4016,10031,0,50
4017,10031,0,50
4018,10031,0,50
4019,10031,0,50
4020,10036,5,128
4021,10036,40,130
4022,11105,0,40
4023,11385,2,45
4024,11238,43,74
4025,11205,14,345
4026,11213,5,65
4027,11217,14,115
4028,10009,31,399
4029,10012,10,190
4030,10014,69,169
4031,10023,0,216
4032,10024,0,200
4033,10030,0,250
4034,10018,27,180
4035,11211,26,175
4036,11215,2,120
4037,11222,9,235
4038,11225,33,135
4039,10128,0,119
4040,11368,0,80
4041,11218,0,70
4042,11226,37,78
4043,11215,74,135
4044,10019,105,114
4045,11368,26,55
4046,11206,12,99
4047,11217,141,175
4048,11217,98,215
4049,10009,1,145
4050,10033,0,95
4051,11215,120,80
4052,11217,69,90
4053,11211,11,150
4054,11221,57,75
4055,10011,30,175
4056,10021,1,200
4057,10029,70,218
4058,11238,0,100
4059,10009,104,90
4060,10013,34,125
4061,11205,52,145
4062,11222,4,150
4063,11225,8,90
4064,11231,1,150
4065,11249,7,250
4066,11216,12,85
4067,10025,0,65
4068,10027,80,95
4069,10301,59,59
4070,10304,18,49
4071,10304,1,49
4072,11212,1,103
4073,11212,0,122
4074,11216,0,111
4075,11216,9,149
4076,11216,2,179
4077,11222,2,110
4078,11238,0,105
4079,11238,3,159
4080,11238,3,169
4081,11211,45,225
4082,10011,2,185
4083,10014,5,225
4084,10016,2,143
4085,10040,4,125
4086,11212,0,48
4087,11212,0,48
4088,11212,0,47
4089,11216,0,101
4090,11216,0,95
4091,11226,1,65
4092,11226,4,69
4093,11238,0,59
4094,11238,6,69
4095,11238,1,79
4096,11238,2,109
4097,11221,141,99
4098,11207,20,125
4099,10002,6,143
4100,10003,6,175
4101,10012,52,295
4102,10014,57,150
4103,10036,53,179
4104,10012,3,159
4105,10002,0,190
4106,10010,26,800
4107,10014,5,185
4108,10038,3,735
4109,11106,4,165
4110,10030,62,79
4111,10038,1,120
4112,10075,0,180
4113,10030,20,40
4114,11211,5,140
4115,11216,0,118
4116,10002,26,215
4117,10003,91,210
4118,10009,35,125
4119,10010,1,135
4120,10010,1,240
4121,10012,7,250
4122,10018,10,249
4123,11206,2,60
4124,10002,29,145
4125,10002,1,95
4126,10011,198,70
4127,10011,211,65
4128,10011,166,70
4129,10018,104,109
4130,10032,85,65
4131,11101,24,70
4132,11101,12,55
4133,11215,21,300
4134,11221,4,150
4135,10002,6,230
4136,10029,1,150
4137,11221,3,60
4138,11221,14,80
4139,11418,11,65
4140,11418,26,60
4141,11418,26,50
4142,11412,17,65
4143,11211,12,190
4144,11213,2,95
4145,11217,14,225
4146,11222,7,165
4147,10002,85,150
4148,10017,55,190
4149,11377,57,129
4150,10035,51,90
4151,11211,20,289
4152,11211,18,289
4153,11215,26,210
4154,11211,47,199
4155,10009,1,350
4156,10011,29,475
4157,10011,0,276
4158,10012,118,250
4159,10024,31,390
4160,10025,1,175
4161,11211,10,96
4162,11215,13,105
4163,11237,2,55
4164,11237,0,75
4165,11238,96,85
4166,10002,3,300
4167,10011,5,140
4168,10012,0,140
4169,10065,11,145
4170,11211,0,200
4171,11216,0,119
4172,10009,49,199
4173,10023,1,250
4174,10029,32,130
4175,10036,0,495
4176,11222,1,120
4177,11211,6,155
4178,11226,4,65
4179,11249,1,250
4180,10016,5,280
4181,10019,0,450
4182,11206,0,75
