,Zipcode,Beds,Number_Of_Reviews
354,11238,1,8
355,10018,1,1
356,11211,1,0
357,11377,1,9
358,11211,1,4
359,10001,1,2
360,11205,1,82
361,10014,1,60
362,10029,1,19
363,11225,7,5
364,11205,2,5
365,11218,1,4
366,10003,1,54
367,10027,1,0
368,11233,3,24
369,11233,4,0
370,10027,2,0
371,10027,4,1
372,11216,1,56
373,11216,1,23
374,11216,1,9
375,11233,2,1
376,11211,1,2
377,11211,1,0
378,11222,2,0
379,11222,2,0
380,10011,1,8
381,11207,2,98
382,10011,2,65
383,10011,1,42
384,10011,2,90
385,10019,2,0
386,10024,3,20
387,10024,2,21
388,10002,1,44
389,10002,1,3
390,10002,1,19
391,10036,1,29
392,11249,2,6
393,11230,4,1
394,11230,1,5
395,11230,1,6
396,11230,1,3
397,10033,2,2
398,11201,1,56
399,11206,2,33
400,11222,2,51
401,10010,1,4
402,10027,2,6
403,11211,1,57
404,10001,4,25
405,10009,1,100
406,10027,1,37
407,11225,1,0
408,10010,2,14
409,10010,2,63
410,10010,1,34
411,10010,1,13
412,11693,2,8
413,11693,2,19
414,11206,2,24
415,11211,1,10
416,10011,1,27
417,10011,2,6
418,10018,1,0
419,10019,1,1
420,10025,1,0
421,11221,4,73
422,10019,3,107
423,10065,3,5
424,10075,2,50
425,11206,1,40
426,10011,1,28
427,10002,1,14
428,10026,1,2
429,10026,1,4
430,10026,1,8
431,10030,1,16
432,10030,1,5
433,10030,1,9
434,10026,1,11
435,11221,6,7
436,10019,1,17
437,10019,1,114
438,11221,2,5
439,11221,1,13
440,11221,2,4
441,11221,2,21
442,11221,2,22
443,11221,2,2
444,10018,1,116
445,10018,1,165
446,11201,1,0
447,11201,1,0
448,10002,2,8
449,11211,1,15
450,10019,1,1
451,10028,1,19
452,10031,1,4
453,10031,1,12
454,11233,2,20
455,11233,3,51
456,11237,2,39
457,10001,1,11
458,11221,1,4
459,10002,1,43
460,10018,1,8
461,11222,2,43
462,11231,2,7
463,11238,1,48
464,11238,1,44
465,11238,1,49
466,11238,1,40
467,11238,3,61
468,11231,3,21
469,10002,1,26
470,10128,1,63
471,11231,1,20
472,10009,1,0
473,10019,3,57
474,11102,2,51
475,11238,2,30
476,10009,2,9
477,10021,1,52
478,11211,2,16
479,10003,1,11
480,10009,1,55
481,10009,1,28
482,10009,1,104
483,11231,2,9
484,10027,2,0
485,10075,2,71
486,11205,1,11
487,10007,1,5
488,10009,2,23
489,10026,2,3
490,11372,1,8
491,11231,6,51
492,11231,3,8
493,11231,8,1
494,10032,1,68
495,11211,1,0
496,11238,4,75
497,11238,3,1
498,11205,1,20
499,11205,1,0
500,11211,1,1
501,11226,1,25
502,11238,1,2
503,10036,1,145
504,10002,3,68
505,11211,1,2
506,10009,1,80
507,11249,3,69
508,11217,1,0
509,10039,1,7
510,10024,1,67
511,11249,3,3
512,10011,1,14
513,11692,2,20
514,11249,1,0
515,10009,1,188
516,11237,1,1
517,11249,2,7
518,10012,1,32
519,10035,6,91
520,11201,1,4
521,11209,4,47
522,11209,1,10
523,11209,4,8
524,11209,1,2
525,11237,1,9
526,11228,1,5
527,10001,1,12
528,11206,2,1
529,11215,3,41
530,11217,2,69
531,10065,1,13
532,10019,1,7
533,11222,1,25
534,10025,1,97
535,11233,6,26
536,11233,5,20
537,11233,5,25
538,10011,1,92
539,10011,1,7
540,10280,2,22
541,11217,2,48
542,11217,1,1
543,11217,1,48
544,10002,1,0
545,10069,1,36
546,11226,1,36
547,10032,1,0
548,11206,1,0
549,11221,1,34
550,10003,1,15
551,10002,1,85
552,10075,1,90
553,11377,1,22
554,11249,1,4
555,10024,1,25
556,10014,1,1
557,10010,2,4
558,10011,1,4
559,11205,1,73
560,11211,2,47
561,10009,3,60
562,10009,4,14
563,10009,6,20
564,10009,4,51
565,10009,4,53
566,10009,4,13
567,10009,12,6
568,11211,1,89
569,11211,1,84
570,11211,1,3
571,10009,1,5
572,10009,1,32
573,10014,1,93
574,11249,1,1
575,11224,2,110
576,11224,2,51
577,11224,1,7
578,10002,3,42
579,11201,1,0
580,11201,4,18
581,11217,1,20
582,11225,3,29
583,11226,1,11
584,10032,2,7
585,10002,2,110
586,11211,1,8
587,11420,1,0
588,10014,1,0
589,11222,1,9
590,11216,1,1
591,11222,2,51
592,11222,2,84
593,11222,1,44
594,11222,1,172
595,11249,2,1
596,11217,3,7
597,11385,2,3
598,11211,1,1
599,11106,1,1
600,11217,2,2
601,11211,1,120
602,10002,1,24
603,11225,1,29
604,11106,1,1
605,10013,1,148
606,10013,1,131
607,10013,1,146
608,11216,1,0
609,10010,1,1
610,10025,1,3
611,10012,2,81
612,10009,1,47
613,10031,1,0
614,11206,2,154
615,11206,4,7
616,10011,1,38
617,10014,2,3
618,11211,1,2
619,10029,2,20
620,10029,1,22
621,11225,1,15
622,10028,2,49
623,10128,1,0
624,11216,1,24
625,11216,3,0
626,10003,1,118
627,10003,1,68
628,10012,1,86
629,10012,1,1
630,11206,1,1
631,10002,1,64
632,10023,2,3
633,10003,1,3
634,10011,2,13
635,10032,1,1
636,11216,2,0
637,11217,1,5
638,11233,3,76
639,11233,3,116
640,11217,2,1
641,11435,2,13
642,10012,2,18
643,11216,1,2
644,11216,1,3
645,11216,1,3
646,10003,1,71
647,11375,4,3
648,11213,2,0
649,11221,2,1
650,11221,1,22
651,11222,3,15
652,11222,3,7
653,11233,2,26
654,10027,2,49
655,11211,1,1
656,11238,2,3
657,10031,4,129
658,11101,3,2
659,11101,1,92
660,11222,1,7
661,10003,1,50
662,10003,1,37
663,10028,1,45
664,10028,2,83
665,11238,1,2
666,10012,1,16
667,11205,1,14
668,10014,2,3
669,10014,3,12
670,10014,1,40
671,10023,3,6
672,10065,2,3
673,10011,1,58
674,10002,1,17
675,10128,2,172
676,10002,2,33
677,10009,2,62
678,11206,1,1
679,11206,1,0
680,11211,1,4
681,11211,1,73
682,11206,1,180
683,11211,3,2
684,11215,2,19
685,11215,4,33
686,11215,6,39
687,11215,2,31
688,11215,2,44
689,11106,1,6
690,10019,1,2
691,11216,1,3
692,11238,1,5
693,10128,1,0
694,10128,1,1
695,11231,1,0
696,11231,2,26
697,10013,1,69
698,10013,1,71
699,10013,3,91
700,11215,1,3
701,11226,3,24
702,11238,1,22
703,10002,1,69
704,10003,1,51
705,10009,1,12
706,10012,1,47
707,10014,1,0
708,10018,1,0
709,10466,1,0
710,10466,2,0
711,11206,1,13
712,11206,1,7
713,10010,1,11
714,10014,1,11
715,11216,1,18
716,11211,2,17
717,11238,2,9
718,11206,1,37
719,10003,2,48
720,10024,1,0
721,11225,2,3
722,10024,1,1
723,10028,1,22
724,10027,1,58
725,11231,4,4
726,10013,1,18
727,11222,4,85
728,10473,2,24
729,11206,2,6
730,10021,1,23
731,10025,1,4
732,10461,1,8
733,10461,1,15
734,10461,1,9
735,10461,1,4
736,10473,1,27
737,10473,1,16
738,10001,1,27
739,10002,1,21
740,10003,1,43
741,10016,1,3
742,10028,1,90
743,10001,1,6
744,10030,1,0
745,11355,1,8
746,11355,1,19
747,11211,1,1
748,10025,1,26
749,10025,4,1
750,11206,5,0
751,11231,2,10
752,11237,2,0
753,11238,2,11
754,11205,1,4
755,11211,2,1
756,11211,1,5
757,11213,1,7
758,10016,1,37
759,10022,1,0
760,11249,4,175
761,10023,2,7
762,10035,2,4
763,10036,1,35
764,11238,1,0
765,11225,1,189
766,11225,1,49
767,11238,2,30
768,11238,3,6
769,11225,1,60
770,11225,1,132
771,11225,1,38
772,10014,2,3
773,10017,2,65
774,10012,1,13
775,10026,2,5
776,11215,3,170
777,11231,1,17
778,11215,6,0
779,10009,2,0
780,11215,2,187
781,11215,6,4
782,11215,3,10
783,10031,3,72
784,10009,2,25
785,10023,2,7
786,10031,2,4
787,10014,1,34
788,10031,1,0
789,10451,1,5
790,10454,1,1
791,11211,2,30
792,10024,1,54
793,10024,1,39
794,11101,1,11
795,11217,1,2
796,10009,2,5
797,10011,1,7
798,10009,1,38
799,11211,5,38
800,10016,1,13
801,10128,2,10
802,11211,2,25
803,11211,2,40
804,11211,3,84
805,10017,1,52
806,10040,1,11
807,10040,1,34
808,10040,1,4
809,10040,1,2
810,10003,1,24
811,10009,1,2
812,10011,2,8
813,10003,1,62
814,10003,1,24
815,10009,2,15
816,10027,3,73
817,10027,4,56
818,11211,1,16
819,10011,3,11
820,10027,2,137
821,11238,1,137
822,10010,1,0
823,11221,2,5
824,11218,5,1
825,11221,4,2
826,10009,1,22
827,10024,1,15
828,10027,2,4
829,11225,1,2
830,11222,1,22
831,10001,1,5
832,11222,1,14
833,11222,1,79
834,11233,4,48
835,11233,4,7
836,11201,2,2
837,11211,1,19
838,10002,2,48
839,10031,4,48
840,11201,1,99
841,10035,1,4
842,11222,3,1
843,11222,5,36
844,11222,4,18
845,10025,2,33
846,10009,1,6
847,11211,2,6
848,11233,3,110
849,10009,1,2
850,10009,1,24
851,10012,1,3
852,10012,1,22
853,11211,1,76
854,11211,1,1
855,11211,2,54
856,11211,1,101
857,10023,2,9
858,11233,1,2
859,10040,1,24
860,11206,1,8
861,11215,1,0
862,10010,1,3
863,10012,2,4
864,10044,1,0
865,11237,1,2
866,10012,1,0
867,10014,1,12
868,11249,1,4
869,10019,1,30
870,10027,2,72
871,10035,1,5
872,11106,1,9
873,11231,1,2
874,11238,2,2
875,11238,1,64
876,11234,2,1
877,11206,3,47
878,11211,2,41
879,11233,2,107
880,11233,5,44
881,11237,4,67
882,11237,4,57
883,11211,6,7
884,11238,1,150
