,Zipcode,Beds,Number_Of_Reviews
8785,11221,1,17
8786,11221,2,10
8787,11237,1,0
8788,11221,1,9
8789,11221,1,10
8790,10016,1,19
8791,10029,1,80
8792,10029,1,22
8793,10040,1,1
8794,11102,1,0
8795,11201,1,3
8796,11211,2,12
8797,11211,3,40
8798,11211,2,12
8799,11215,1,1
8800,11231,1,11
8801,10003,1,30
8802,10003,2,19
8803,10003,1,4
8804,10014,1,28
8805,10014,1,0
8806,11385,2,11
8807,11213,1,4
8808,11216,1,0
8809,11211,1,6
8810,11211,1,40
8811,11218,2,0
8812,10026,1,0
8813,10036,1,7
8814,11101,1,2
8815,11231,1,1
8816,11238,2,6
8817,10004,1,9
8818,10009,1,0
8819,10014,1,4
8820,10023,2,2
8821,10024,1,4
8822,10024,1,7
8823,10028,1,4
8824,11206,1,0
8825,11221,1,16
8826,11221,1,14
8827,11225,1,4
8828,11221,1,17
8829,10003,1,13
8830,10011,1,17
8831,10012,1,0
8832,10034,1,80
8833,11211,3,29
8834,11215,3,43
8835,11216,2,4
8836,11216,1,8
8837,10009,1,8
8838,10024,1,23
8839,10026,1,4
8840,10036,2,5
8841,11213,1,0
8842,11231,1,2
8843,10002,1,0
8844,10003,1,0
8845,10027,1,1
8846,10029,1,1
8847,11415,1,3
8848,11385,2,5
8849,10001,1,6
8850,10037,1,0
8851,11201,2,0
8852,11249,4,9
8853,10001,3,9
8854,10009,1,28
8855,11222,1,0
8856,11225,1,0
8857,11211,1,92
8858,11249,1,100
8859,10001,1,10
8860,10001,1,18
8861,10128,2,17
8862,11213,2,41
8863,11213,2,59
8864,11213,4,10
8865,10003,1,149
8866,10007,1,4
8867,10025,1,36
8868,10035,2,109
8869,11205,1,3
8870,10011,2,5
8871,10034,4,0
8872,11207,1,10
8873,11226,1,2
8874,11237,1,20
8875,10033,1,9
8876,10033,1,20
8877,10065,1,0
8878,11105,1,3
8879,11377,1,1
8880,11377,1,3
8881,11205,1,1
8882,11205,2,6
8883,11231,1,0
8884,10001,2,1
8885,10002,1,22
8886,10009,2,88
8887,10012,1,7
8888,10019,1,0
8889,10019,1,0
8890,10023,1,0
8891,11205,1,33
8892,11213,1,18
8893,11217,1,19
8894,11217,1,2
8895,10009,2,1
8896,10009,1,60
8897,10009,1,43
8898,11221,1,0
8899,11221,2,21
8900,11222,2,11
8901,11234,2,92
8902,11238,2,1
8903,11238,1,1
8904,10003,1,8
8905,10009,1,7
8906,10016,1,4
8907,10024,5,0
8908,10025,1,2
8909,10027,2,0
8910,10027,2,7
8911,11429,2,61
8912,11218,1,4
8913,11222,1,16
8914,11238,1,4
8915,10009,1,89
8916,10011,1,34
8917,10032,2,0
8918,11209,1,6
8919,11216,2,1
8920,11222,1,1
8921,11233,2,4
8922,11233,2,16
8923,11233,2,0
8924,10002,1,24
8925,10002,1,4
8926,10023,1,1
8927,10023,1,13
8928,10028,2,0
8929,10035,5,0
8930,11105,1,3
8931,11238,1,0
8932,11234,1,1
8933,10002,1,27
8934,10012,1,2
8935,10014,1,1
8936,11205,1,5
8937,11211,1,2
8938,11217,1,2
8939,11225,1,102
8940,11232,2,0
8941,11237,2,55
8942,10002,2,9
8943,10003,1,1
8944,10019,2,1
8945,11211,1,0
8946,11237,1,7
8947,11237,1,3
8948,11221,1,5
8949,10002,1,71
8950,10032,1,6
8951,11217,1,9
8952,11238,1,13
8953,10002,1,2
8954,10009,2,40
8955,10016,3,15
8956,10024,2,2
8957,10031,3,16
8958,10128,3,24
8959,11222,1,0
8960,10009,1,0
8961,10039,1,5
8962,11103,1,0
8963,11103,1,66
8964,11103,1,62
8965,11103,1,0
8966,11249,1,18
8967,10009,2,0
8968,10012,1,25
8969,10014,2,0
8970,10019,1,3
8971,10040,1,52
8972,11372,1,0
8973,11206,1,0
8974,11206,1,0
8975,10001,1,1
8976,10003,1,0
8977,11201,2,5
8978,11238,1,2
8979,10002,2,48
8980,10012,2,8
8981,10013,1,16
8982,11237,1,6
8983,10012,1,10
8984,10012,1,2
8985,11237,1,2
8986,11217,1,47
8987,11222,1,0
8988,11237,1,12
8989,11237,2,1
8990,11207,5,26
8991,10012,1,0
8992,10023,4,0
8993,10023,1,7
8994,10025,2,19
8995,11207,2,113
8996,11211,1,2
8997,11211,1,0
8998,11249,1,0
8999,10009,1,3
9000,10031,2,1
9001,10033,1,35
9002,10033,1,22
9003,11211,3,14
9004,11215,1,26
9005,11222,2,0
9006,11222,1,1
9007,10002,2,2
9008,10002,1,3
9009,10011,1,23
9010,10012,1,3
9011,10013,1,4
9012,10019,1,41
9013,10024,2,2
9014,10025,2,4
9015,10128,1,10
9016,10003,1,2
9017,11106,1,10
9018,11211,1,9
9019,11211,1,8
9020,11211,1,10
9021,11215,2,0
9022,11215,2,0
9023,11215,1,39
9024,11222,1,1
9025,11237,1,50
9026,10002,1,9
9027,10014,1,12
9028,10065,1,0
9029,11211,1,3
9030,10001,2,30
9031,10003,1,5
9032,10019,1,12
9033,11432,1,36
9034,10463,1,0
9035,11226,1,13
9036,11237,1,1
9037,10001,2,0
9038,10001,1,25
9039,10001,1,2
9040,10002,1,1
9041,11211,2,2
9042,11211,1,6
9043,11216,2,17
9044,11217,2,1
9045,10004,2,5
9046,10011,1,17
9047,10019,1,0
9048,10023,2,2
9049,10028,1,0
9050,10009,1,81
9051,11205,1,44
9052,11211,1,1
9053,11211,1,3
9054,11238,1,0
9055,11216,1,6
9056,11216,1,9
9057,11216,1,5
9058,11218,1,13
9059,10009,1,6
9060,10028,1,46
9061,10030,1,4
9062,11377,1,10
9063,11216,1,30
9064,11216,1,4
9065,11201,2,50
9066,11217,1,0
9067,11232,1,23
9068,10012,1,15
9069,10014,2,69
9070,10018,3,4
9071,10019,2,115
9072,10036,2,70
9073,11205,1,15
9074,11206,3,0
9075,11211,1,0
9076,11216,1,0
9077,10002,1,0
9078,10002,1,0
9079,10002,1,0
9080,10012,1,1
9081,11201,1,6
9082,11205,1,46
9083,11205,1,40
9084,11221,1,106
9085,10003,2,23
9086,10026,1,3
9087,10040,1,29
9088,10014,1,4
9089,11101,2,4
9090,10014,1,12
9091,10019,1,5
9092,10033,1,11
9093,10033,1,5
9094,10036,1,43
9095,10014,1,6
9096,11238,1,1
9097,11211,2,97
9098,10002,1,9
9099,11211,2,0
9100,10002,2,6
9101,11215,2,26
9102,11221,1,23
9103,11238,1,8
9104,11249,1,4
9105,10009,1,9
9106,10011,1,10
9107,10014,1,2
9108,10031,3,11
9109,10280,2,16
9110,11206,1,4
9111,11216,2,0
9112,10003,1,1
9113,10003,1,4
9114,10009,1,2
9115,10012,1,0
9116,11385,1,8
9117,11206,1,10
9118,11211,3,0
9119,11211,2,9
9120,11211,2,1
9121,11211,1,21
9122,11215,1,32
9123,11217,1,2
9124,10023,2,0
9125,11103,1,0
9126,11385,4,18
9127,11211,1,7
9128,11213,1,0
9129,11213,1,11
9130,11226,1,27
9131,11226,1,3
9132,11226,1,2
9133,10009,1,2
9134,10025,1,2
9135,11385,1,5
9136,11385,1,31
9137,11211,1,5
9138,11216,6,28
9139,10002,2,0
9140,10011,1,8
9141,10012,1,2
9142,10016,2,2
9143,10024,2,0
9144,10030,2,0
9145,10037,2,48
9146,11211,1,5
9147,11216,1,77
9148,10002,1,5
9149,10005,1,0
9150,10005,1,2
9151,10026,1,26
9152,10030,2,57
9153,11206,1,4
9154,11215,2,0
9155,10001,1,3
9156,10002,1,7
9157,10002,1,1
9158,10003,1,22
9159,10009,2,1
9160,10017,1,0
9161,10035,2,0
9162,10304,2,6
9163,10304,1,10
9164,11206,1,0
9165,10304,2,42
9166,10304,1,24
9167,10304,1,16
9168,10304,1,34
9169,11211,1,3
9170,10003,3,80
9171,10009,2,64
9172,10009,3,82
9173,10009,3,42
9174,10013,2,60
9175,10019,4,55
9176,11211,1,0
9177,11222,1,2
9178,10019,1,20
9179,10025,1,5
9180,10025,1,37
9181,10025,1,1
9182,10314,1,0
9183,11206,3,48
9184,11216,2,5
9185,11222,4,5
9186,11238,2,7
9187,11215,2,43
9188,10025,2,7
9189,10040,2,3
9190,10003,4,9
9191,11237,2,54
9192,11106,1,1
9193,11106,4,0
9194,11201,1,69
9195,11238,1,39
9196,10012,1,0
9197,10025,1,5
9198,11211,3,19
9199,11205,2,0
9200,11217,2,0
9201,10001,3,21
9202,10012,2,0
9203,10036,3,60
9204,10036,1,82
9205,10454,1,2
9206,10454,1,2
9207,11215,1,6
9208,11104,1,0
9209,11211,2,1
9210,11222,3,44
9211,11237,1,0
9212,11249,1,3
9213,11249,2,51
9214,10003,2,40
9215,10009,1,89
9216,10011,1,1
9217,10012,2,0
9218,10017,2,15
9219,10019,3,0
9220,10019,2,4
9221,10022,3,0
9222,10034,2,10
9223,11211,1,1
9224,11231,2,27
9225,11205,1,2
9226,10001,1,22
9227,10019,1,7
9228,10019,1,16
9229,10027,1,9
9230,11102,1,5
9231,11105,2,0
9232,11211,2,5
9233,11215,3,1
9234,11226,4,1
9235,11238,2,145
9236,11238,2,9
9237,11238,1,1
9238,11233,3,17
9239,10005,1,20
9240,10011,1,4
9241,10037,5,15
9242,11211,1,3
9243,11211,1,14
9244,11211,1,72
9245,11226,2,58
9246,11226,2,14
9247,11231,1,8
9248,11233,1,0
9249,11215,1,36
9250,10026,1,44
9251,11106,2,48
9252,11106,2,61
9253,11226,2,8
9254,11238,1,8
9255,11101,1,10
9256,10467,1,34
9257,10467,1,45
9258,11237,1,9
9259,11216,3,55
9260,11211,2,8
9261,11222,2,0
9262,11226,1,111
9263,11238,2,12
9264,10012,1,1
9265,11211,1,12
9266,11218,1,0
9267,11218,1,22
9268,11221,1,22
9269,11225,1,0
9270,11221,1,0
9271,10003,1,4
9272,10003,1,3
9273,10011,1,1
9274,10025,1,24
9275,11206,4,0
9276,11211,1,1
9277,11211,1,0
9278,11211,2,9
9279,11222,2,35
9280,10002,3,7
9281,10003,1,3
9282,10011,3,12
9283,10013,2,3
9284,11211,1,3
9285,11238,1,3
9286,11222,1,4
9287,11238,1,1
9288,11215,4,5
9289,11206,2,12
9290,10009,1,6
9291,11216,1,10
9292,11216,1,18
9293,11221,1,0
9294,11221,1,2
9295,11221,2,0
9296,11211,2,2
9297,11216,1,7
9298,11230,1,18
9299,10002,1,5
9300,10002,1,2
9301,10002,1,0
9302,10009,1,1
9303,10019,1,0
9304,10024,1,4
9305,10024,1,2
9306,10024,1,7
9307,10029,1,3
9308,10031,1,6
9309,11226,1,1
9310,10009,1,20
9311,10014,1,3
9312,10024,1,39
9313,10027,1,7
9314,10031,3,0
9315,10009,1,1
9316,10009,1,18
9317,10013,1,12
9318,10014,1,3
9319,10128,1,33
9320,11205,1,0
9321,10001,3,66
9322,10002,2,17
9323,10003,1,23
9324,10009,1,7
9325,10010,2,0
9326,10010,2,12
9327,10012,1,3
9328,10036,3,36
9329,10065,1,19
9330,10128,1,2
9331,11226,1,0
9332,11236,1,1
9333,11236,1,1
9334,10002,1,0
9335,11215,1,0
9336,11211,2,0
9337,11222,1,0
9338,10002,1,17
9339,10012,2,0
9340,10065,2,1
9341,10065,1,16
9342,11206,1,1
9343,11216,1,0
9344,11231,1,12
9345,11215,1,0
9346,10003,1,2
9347,10009,1,91
9348,10009,1,57
9349,10019,2,45
9350,10036,1,14
9351,10036,1,25
9352,10012,1,1
9353,11207,1,8
9354,11213,3,64
9355,11249,1,0
9356,11217,2,0
9357,10002,1,11
9358,10003,1,8
9359,10009,2,20
9360,10019,1,57
9361,10019,1,122
9362,10021,2,7
9363,10032,2,0
9364,10036,1,39
9365,11221,1,0
9366,11221,1,0
9367,11225,1,0
9368,11225,1,7
9369,10002,1,13
9370,10025,2,2
9371,10025,2,0
9372,11205,2,27
9373,11237,3,7
9374,11238,1,3
9375,11206,6,7
9376,10002,2,7
9377,10011,2,6
9378,10014,4,39
9379,10014,1,10
9380,11206,1,45
9381,11211,1,0
9382,11211,1,6
9383,11237,1,18
9384,11373,1,6
9385,11238,1,1
9386,10011,1,4
9387,10014,1,4
9388,10022,1,2
9389,10026,2,4
9390,10037,2,1
9391,11205,1,0
9392,11205,1,1
9393,11205,1,104
9394,10013,1,1
9395,10026,1,49
9396,10037,1,24
9397,10037,1,34
9398,11201,1,9
9399,11206,1,68
9400,11206,1,58
9401,11226,1,6
9402,10003,3,2
9403,10003,3,7
9404,10003,3,2
9405,10003,2,3
9406,10018,1,103
9407,10019,2,62
9408,10036,1,87
9409,11106,2,105
9410,11206,1,0
9411,11219,1,53
9412,11237,2,1
9413,11103,1,3
9414,11360,1,0
9415,10036,1,5
9416,11211,2,5
9417,11217,5,10
9418,11231,3,0
9419,11238,1,5
9420,10009,2,0
9421,10012,1,13
9422,10028,1,0
9423,10065,2,91
9424,11206,2,0
9425,11211,1,0
9426,11220,1,2
9427,11220,2,1
9428,11222,1,3
9429,11222,1,5
9430,11225,2,52
9431,10003,1,76
9432,10009,1,0
9433,10012,1,11
9434,10027,1,0
9435,11226,1,0
9436,11226,3,8
9437,10003,1,1
9438,10009,3,2
9439,10019,2,52
9440,10019,2,1
9441,10025,2,0
9442,10040,1,5
9443,11101,1,3
9444,11102,2,23
9445,11210,1,0
9446,11211,1,6
9447,11237,1,4
9448,10018,1,1
9449,10018,1,3
9450,10018,1,2
9451,10018,1,2
9452,10018,1,13
9453,10025,1,1
9454,10030,1,111
9455,10040,1,1
9456,11102,1,1
9457,11237,3,0
9458,11216,6,14
9459,11238,2,15
9460,10009,1,46
9461,10016,2,1
9462,10016,1,0
9463,10024,1,39
9464,10065,2,9
9465,10025,1,33
9466,11377,2,17
9467,11217,1,16
9468,11201,1,17
9469,10011,1,5
9470,10016,1,0
9471,10021,2,4
9472,10025,1,1
9473,11211,2,0
9474,11222,2,3
9475,11226,2,1
9476,11238,1,0
9477,11249,2,0
9478,11238,2,4
9479,10009,1,0
9480,10014,1,6
9481,10026,2,3
9482,10027,4,0
9483,11201,1,3
9484,11201,1,4
9485,11222,1,23
9486,11222,1,0
9487,11238,1,1
9488,10025,1,0
9489,10025,1,1
9490,11216,1,5
9491,11216,2,11
9492,11217,1,19
9493,11231,2,1
9494,11237,3,25
9495,11205,1,4
9496,11211,1,33
9497,10003,2,23
9498,11217,1,59
9499,10019,1,53
9500,11201,1,28
9501,11211,1,9
9502,11211,2,6
9503,11217,1,26
9504,10002,2,13
9505,10012,1,3
9506,10021,1,2
9507,10026,1,4
9508,10002,1,96
9509,10454,1,31
9510,11216,1,6
9511,11238,2,1
9512,10010,1,0
9513,10013,1,0
9514,10027,1,1
9515,10018,2,0
9516,11211,1,5
9517,11211,1,15
9518,11225,1,4
9519,11226,2,1
9520,10003,2,4
9521,10004,3,15
9522,10011,1,13
9523,10012,3,1
9524,10027,2,1
9525,10035,1,11
9526,10040,2,2
9527,10003,1,22
9528,10038,2,0
9529,11104,3,34
9530,11104,3,41
9531,11104,6,30
9532,11104,3,29
9533,11104,3,71
9534,11222,1,8
9535,11226,1,1
9536,10003,1,0
9537,10013,1,7
9538,10030,1,0
9539,10040,1,57
9540,11238,1,4
9541,10002,2,14
9542,10003,2,26
9543,10003,1,3
9544,10003,1,17
9545,10014,3,79
9546,10023,2,4
9547,10029,1,12
9548,11211,1,54
9549,11211,1,13
9550,10040,1,0
9551,11103,1,60
9552,11103,1,1
9553,11201,1,58
9554,11217,1,42
9555,10002,1,74
9556,10010,1,1
9557,10025,1,4
9558,10025,1,3
9559,10128,1,13
9560,11206,1,2
9561,11211,2,0
9562,11215,1,1
9563,11238,1,2
9564,11237,1,29
9565,10040,2,1
9566,10040,1,6
9567,11106,1,14
9568,11237,1,5
9569,11211,1,5
9570,11221,2,2
9571,10002,1,16
9572,10002,1,0
9573,10011,2,49
9574,10019,3,55
9575,10031,2,5
9576,11206,1,0
9577,11206,1,0
9578,11216,1,13
9579,11221,1,3
9580,10002,2,39
9581,10003,1,2
9582,10009,1,42
9583,10022,2,50
9584,10030,1,3
9585,10030,1,2
9586,11206,3,20
9587,11206,1,7
9588,11206,2,2
9589,11216,1,12
9590,10002,2,16
9591,10005,2,8
9592,10011,1,4
9593,10014,2,55
9594,10024,2,6
9595,11211,1,0
9596,11211,1,4
9597,10031,1,19
9598,10035,2,30
9599,11101,1,0
9600,11237,2,4
9601,11211,1,13
9602,10002,1,0
9603,10003,2,4
9604,10011,2,2
9605,10012,2,1
9606,10016,1,25
9607,10022,1,2
9608,10025,2,6
9609,10065,1,4
9610,11102,1,2
9611,11221,1,1
9612,11237,1,2
9613,11215,2,117
9614,10002,1,1
9615,10032,1,1
9616,10037,1,0
9617,11221,2,0
9618,11225,1,26
9619,10003,6,1
9620,10009,3,5
9621,10023,1,1
9622,10075,1,22
9623,10011,1,79
9624,10023,1,60
9625,10023,1,93
9626,11385,1,0
9627,11205,1,3
9628,11225,2,0
9629,11238,5,0
9630,11238,5,4
9631,11237,3,26
9632,10009,1,45
9633,10009,1,9
9634,11216,1,0
9635,11238,1,1
9636,10002,1,43
9637,10002,1,0
9638,10002,1,59
9639,10010,1,89
9640,10026,1,55
9641,10001,2,29
9642,10003,2,20
9643,10014,1,7
9644,10022,3,0
9645,10031,1,1
9646,10033,3,0
9647,10003,1,1
9648,10031,1,0
9649,10128,2,25
9650,11222,4,0
9651,10009,2,6
9652,10010,3,30
9653,10012,2,1
9654,10012,2,3
9655,10013,1,2
9656,10014,1,27
9657,10016,4,7
9658,10016,3,16
9659,10028,1,0
9660,10030,1,9
9661,10128,2,2
9662,11101,1,13
9663,11101,4,3
9664,11101,4,27
9665,11101,1,3
9666,11372,3,17
9667,11216,1,1
9668,11237,1,0
9669,11216,1,53
9670,10002,1,7
9671,10022,2,0
9672,10022,2,0
9673,11109,1,3
9674,11372,2,2
9675,11372,1,0
9676,11372,1,1
9677,11101,1,22
9678,11211,2,0
9679,11216,1,41
9680,11218,1,35
9681,11221,1,41
9682,11225,1,1
9683,10011,1,0
9684,10012,1,16
9685,10128,1,32
9686,11219,1,13
9687,11219,1,8
9688,11219,1,2
9689,11219,1,7
9690,11219,1,5
9691,11219,1,8
9692,11219,1,9
9693,10009,1,0
9694,10025,2,29
9695,10013,1,21
9696,10013,1,22
9697,10013,1,11
9698,11106,1,58
9699,10023,1,2
9700,10024,1,7
9701,10012,1,1
9702,11205,1,0
9703,11237,1,8
9704,10019,1,11
9705,10027,1,9
9706,10027,1,1
9707,10128,1,0
9708,11105,1,0
9709,11385,1,33
9710,11238,1,7
9711,11238,1,38
9712,11205,1,9
9713,10003,2,23
9714,10009,2,5
9715,10019,2,5
9716,10019,1,3
9717,10023,2,0
9718,11238,1,1
9719,10002,1,21
9720,10002,1,48
9721,10009,1,3
9722,10128,1,104
9723,10280,1,8
9724,10280,1,74
9725,11211,1,26
9726,11211,1,37
9727,11237,2,3
9728,10301,3,0
9729,11206,2,77
9730,11206,1,6
9731,11206,2,21
9732,11206,1,12
9733,11225,1,0
9734,11225,1,1
9735,10026,1,0
9736,11206,1,17
9737,11215,3,5
9738,10011,1,0
9739,10014,1,1
9740,10036,1,4
9741,10036,1,25
9742,11238,1,5
9743,11238,1,1
9744,10031,1,3
9745,10009,1,9
9746,10012,2,11
9747,10028,1,20
9748,10028,1,23
9749,11237,1,1
9750,11237,1,0
9751,11221,1,0
9752,10019,1,9
9753,10035,1,13
9754,11211,1,1
9755,11231,5,7
9756,11238,2,2
9757,10002,1,1
9758,10012,2,0
9759,10024,1,0
9760,10036,1,33
9761,10036,2,14
9762,10065,4,34
9763,10065,1,0
9764,10065,1,7
9765,11211,1,10
9766,10003,1,7
9767,10003,1,7
9768,10003,2,17
9769,10003,1,9
9770,10003,1,11
9771,10003,1,7
9772,11102,1,19
9773,11101,1,0
9774,11201,1,7
9775,11238,4,1
9776,10003,3,13
9777,10009,2,22
9778,10009,6,0
9779,10009,2,16
9780,10026,2,0
9781,10033,1,3
9782,10036,1,16
9783,10036,3,50
9784,10128,3,8
9785,11201,1,49
9786,11211,1,3
9787,11233,1,0
9788,10002,1,4
9789,11201,2,18
9790,11249,1,1
9791,10003,2,0
9792,10011,1,0
9793,10014,1,3
9794,10021,1,0
9795,11361,4,3
9796,11216,2,3
9797,11222,1,17
9798,11225,1,22
9799,11211,1,58
9800,10002,1,2
9801,10025,1,1
9802,10030,2,11
9803,10036,1,7
9804,10040,1,0
9805,11361,1,1
9806,11216,1,6
9807,11211,2,4
9808,11237,1,1
9809,10002,1,5
9810,10011,2,3
9811,10027,1,22
9812,10451,1,4
9813,11211,1,5
9814,11222,1,1
9815,11238,1,0
9816,11238,1,3
9817,10025,1,7
9818,10036,1,14
9819,11211,1,19
9820,11211,1,27
9821,11211,2,9
9822,11225,1,3
9823,11238,3,1
9824,11233,2,0
9825,10003,3,28
9826,10011,2,32
9827,10012,1,39
9828,10016,1,1
9829,10030,2,7
9830,11226,1,2
9831,11226,1,2
9832,10028,1,0
9833,11226,2,2
9834,11205,1,1
9835,11206,2,1
9836,11211,3,84
9837,11211,2,19
9838,10009,3,1
9839,10037,1,21
9840,10038,1,1
9841,10280,2,7
9842,10038,3,4
9843,11206,1,2
9844,11206,1,4
9845,11221,1,0
9846,10003,1,11
9847,10003,1,5
9848,10031,1,4
9849,10031,2,2
9850,10038,1,0
9851,10003,1,7
9852,10312,2,29
9853,11205,1,4
9854,11249,2,53
9855,10009,2,22
9856,10010,1,1
9857,10011,3,0
9858,10014,1,6
9859,10025,1,1
9860,10128,1,19
9861,10128,1,16
9862,11206,1,15
9863,11206,2,1
9864,11206,1,35
9865,11211,1,50
9866,10025,1,14
9867,10023,1,12
9868,11222,1,0
9869,11225,2,0
9870,11238,2,8
9871,10014,1,0
9872,10019,1,1
9873,10023,2,0
9874,10025,2,0
9875,10025,2,1
9876,10035,1,12
9877,10036,1,52
9878,11216,1,32
9879,11221,1,8
9880,11221,1,0
9881,10035,1,6
9882,10035,1,2
9883,11385,1,28
9884,10466,2,1
9885,11201,1,2
9886,11216,1,17
9887,11238,3,3
9888,11249,7,48
9889,11238,4,0
9890,10016,2,7
9891,10016,1,1
9892,10023,2,23
9893,10026,2,8
9894,10027,5,20
9895,10029,2,0
9896,10029,2,48
9897,10040,3,35
9898,11692,4,12
9899,11237,2,46
9900,10466,1,2
9901,11205,2,1
9902,11237,1,0
9903,11238,1,23
9904,11238,1,2
9905,11249,7,4
9906,11249,1,50
9907,11249,1,41
9908,11249,1,53
9909,11249,1,69
9910,11249,1,53
9911,11249,1,59
9912,11249,1,43
9913,10009,1,0
9914,10075,1,0
9915,10075,1,35
9916,11206,1,0
9917,11211,1,32
9918,11215,1,1
9919,11216,1,6
9920,11225,1,5
9921,11238,2,0
9922,11249,2,0
9923,10005,2,11
9924,10009,1,3
9925,10009,2,10
9926,10021,1,10
9927,10021,2,7
9928,10021,2,13
9929,10021,1,0
9930,10038,2,0
9931,10065,3,13
9932,10065,3,14
9933,10467,1,5
9934,11211,1,2
9935,11238,1,62
9936,11211,1,42
9937,10005,1,0
9938,10005,1,1
9939,10009,1,1
9940,10030,2,0
9941,10038,1,2
9942,11101,1,13
9943,11101,1,3
9944,11211,1,70
9945,11222,1,2
9946,10002,1,9
9947,10011,2,55
9948,10019,1,143
9949,10035,2,14
9950,10035,2,28
9951,10035,2,8
9952,10065,2,15
9953,11222,1,0
9954,11226,1,21
9955,11216,3,0
9956,11234,1,18
9957,11222,1,2
9958,10003,1,37
9959,10012,1,36
9960,10014,1,1
9961,10019,1,2
9962,7030,1,0
9963,11205,1,0
9964,11216,1,7
9965,11217,1,4
9966,10011,2,0
9967,10011,1,0
9968,10012,1,3
9969,10019,3,1
9970,10025,2,0
9971,10128,2,6
9972,11102,6,36
9973,10002,1,0
9974,10002,1,13
9975,10025,1,0
9976,10029,1,2
9977,10031,1,1
9978,10032,2,3
9979,10033,1,2
9980,10033,1,2
9981,10033,1,3
9982,10128,1,14
9983,10128,1,39
9984,11373,1,17
9985,11373,1,73
9986,11373,1,57
9987,11373,1,47
9988,10026,1,8
9989,11206,3,3
9990,11211,1,10
9991,11211,1,1
9992,10010,2,4
9993,10016,2,11
9994,10022,2,0
9995,10027,2,0
9996,11206,1,14
9997,11211,1,11
9998,11249,1,0
9999,10280,1,1
10000,10019,1,0
10001,11205,2,3
10002,11206,1,5
10003,11211,1,64
10004,11215,6,27
10005,11216,1,0
10006,11233,1,66
10007,11237,2,0
10008,10002,2,1
10009,10003,1,23
10010,10003,2,23
10011,10003,1,2
10012,10006,1,0
10013,10012,1,128
10014,10013,2,13
10015,10014,2,53
10016,10014,1,21
10017,10014,4,2
10018,10024,2,8
10019,10026,2,0
10020,10075,1,0
10021,10003,2,60
10022,10011,4,17
10023,10012,4,7
10024,10013,4,92
10025,11105,2,0
10026,11221,1,0
10027,11237,1,0
10028,11238,1,3
10029,10002,1,4
10030,10027,1,0
10031,11221,1,58
10032,11237,2,1
10033,11237,2,52
10034,11249,2,7
10035,11229,3,34
10036,11249,1,0
10037,10005,1,4
10038,10009,1,17
10039,10009,1,24
10040,10011,1,4
10041,10012,1,0
10042,10023,1,1
10043,11103,4,0
10044,10451,1,8
10045,11206,1,0
10046,11237,1,2
10047,11237,1,6
10048,11222,1,0
10049,10014,1,66
10050,10025,1,7
10051,10025,1,7
10052,11206,1,2
10053,11206,1,65
10054,11211,2,0
10055,10003,1,33
10056,10003,1,51
10057,10014,1,29
10058,10014,1,11
10059,10024,1,8
10060,10030,1,9
10061,10031,4,6
10062,10031,1,1
10063,10033,2,19
10064,11377,1,5
10065,11211,2,0
10066,11237,1,6
10067,11216,2,3
10068,11216,2,41
10069,11216,2,38
10070,11216,2,10
10071,11216,1,7
10072,11216,1,1
10073,11225,1,39
10074,11225,1,5
10075,11225,2,56
10076,10009,1,2
10077,10033,1,0
10078,10128,1,3
10079,11206,3,0
10080,11211,1,12
10081,11211,1,0
10082,11221,1,2
10083,10002,4,36
10084,10003,1,8
10085,10011,3,10
10086,10017,1,46
10087,10021,2,4
10088,10024,1,5
10089,10025,1,3
10090,10036,2,30
10091,11102,1,31
10092,11211,1,0
10093,11221,1,0
10094,11237,1,0
10095,10016,1,0
10096,10023,1,36
10097,10026,1,17
10098,10026,1,5
10099,10035,1,39
10100,11221,1,9
10101,11201,3,25
10102,11201,1,5
10103,11206,1,9
10104,11218,1,6
10105,11206,5,37
10106,10007,1,0
10107,10014,2,54
10108,10028,1,35
10109,10035,2,32
10110,10035,2,29
10111,10128,2,61
10112,10128,1,3
10113,11101,2,56
10114,11201,1,14
10115,11211,1,7
10116,11206,1,5
10117,10012,1,4
10118,10128,2,3
10119,11103,1,69
10120,11103,1,2
10121,11205,2,6
10122,10014,2,6
10123,10016,1,27
10124,10065,1,4
10125,11375,1,2
10126,11205,1,2
10127,11211,1,10
10128,11221,1,15
10129,11379,1,16
10130,10014,1,0
10131,11211,1,7
10132,11211,1,1
10133,11215,2,6
10134,11215,3,5
10135,11238,2,0
10136,11249,1,0
10137,11218,6,1
10138,10001,1,2
10139,10009,2,4
10140,10023,3,4
10141,10040,2,1
10142,11104,1,2
10143,11106,1,1
10144,11211,1,7
10145,11211,1,29
10146,11238,1,17
10147,11249,1,26
10148,11249,1,88
10149,10016,1,0
10150,10016,1,6
10151,10034,2,79
10152,10039,1,1
10153,11104,1,4
10154,11222,2,17
10155,11237,2,5
10156,11237,1,2
10157,11238,2,3
10158,10009,1,27
10159,10012,1,0
10160,10019,1,4
10161,10021,1,0
10162,10025,1,11
10163,10027,2,0
10164,10028,1,0
10165,10033,2,6
10166,11102,2,0
10167,11206,1,15
10168,11211,1,8
10169,11211,1,2
10170,11211,1,1
10171,11249,1,1
10172,10002,2,1
10173,10013,2,0
10174,10013,1,1
10175,11102,1,45
10176,11103,1,6
10177,10301,1,14
10178,10002,1,106
10179,10471,8,0
10180,11222,2,17
10181,11206,3,9
